ID,Артикул,Имя,Наличие,Базовая цена
50634,1100008,Щипцы сервировочные нейлоновые 34см,1,83700
50635,1100009,Щипцы сервировочные нейлоновые 26см,0,72000
50636,1100010,Щипцы сервировочные нейлоновые 33см,1,82100
50637,1100030,Теппаньяки 35*57см Geminis,0,1942600
50638,1100032,Терка 4-х сторонняя,1,267700
50639,1100033,Точилка для ножей 3 в 1,1,247600
50640,1100034,Терка 3-х сторонняя 24см,0,130400
50641,1100035,Терка овальная 23см,0,127100
50642,1100038,Терка 4-х сторонняя 23см,0,125600
50643,1100039,Терка 4-х сторонняя пирамида 23см,0,152500
50644,1100054,Форма для запекания круглая с инструментом для нарезания 30*27*5см Perfect Slice,0,219700
50645,1100055,Форма для запекания с инструментом для нарезания 34*30*4см Perfect Slice,0,100000
50646,1100062,"Дуршлаг круглый 19,5см",1,285700
50647,1100068,"Ковш с крышкой 16см 1,6л Manhattan",0,591000
50648,1100069,"Кастрюля с крышкой 20см 3,1л Manhattan",0,703800
50649,1100072,"Сковорода 24см 2,2л Manhattan",0,690100
50650,1100077,Мельница для перца 42*7см Studio,1,570900
50651,1100078,Набор для соли и перца Pyramid,0,376700
50652,1100084,Поршневой заварочный чайник для кофе и чая 800мл,1,393300
50653,1100093,"Сотейник с крышкой 24см 2,7л Bistro",0,531300
50654,1100097,"Набор сковород 3пр диаметром 20см,24см,28см",0,1228400
50655,1100136,Терка 3-х сторонняя 20см,0,133000
50656,1100146,Поршневой заварочный чайник для кофе и чая 350мл,1,283900
50657,1100147,Поршневой заварочный чайник для кофе и чая 600мл,0,360600
50658,1100170,"Ковш с крышкой 1,8л 16см Essentials Zeno",0,652200
50659,1100171,"Кастрюля с крышкой 1,8л 16см Essentials Zeno",0,716200
50660,1100185,"Термос Orion 0,75л",0,312100
50661,1100186,Термос 1л Orion,1,397200
50662,1100187,"Кружка дорожная Orion 0,5л",0,186200
50663,1100188,"Турка Zeno 0,55л",1,428400
50714,1100189,9пр набор для барбекю в фартуке Cubo,1,1074900
50715,1100191,Терка 4-х сторонняя квадратная 22см,1,202700
50716,1100192,Терка 4-х сторонняя пирамида 23см,0,220200
50717,1100193,Терка 4-х сторонняя пирамида 26см,0,146900
50718,1100194,"Терка овальная 15,5см",1,69600
50719,1100196,"Пищевой контейнер для ланча 14,5*21*7см Essentials",1,373200
50720,1100197,Штопор для вина,1,810200
50721,1100229,Вставка-пароварка для кастрюль диаметром 20/24cm Comfort,0,308300
50722,1100231,"Сотейник с крышкой 24см 3,2л Comfort",0,844300
50723,1100232,"Сотейник с крышкой 24см 3,2л с антипригарным покрытием Comfort",0,645800
50724,1100233,"Сковорода 20см 1,2л Comfort",0,554300
50725,1100235,"Сковорода 28см 3,2л Comfort",0,983700
50726,1100236,"Сковорода с антипригарным покрытием 20см 1,2л Comfort",0,807000
50727,1100237,"Сковорода с антипригарным покрытием 24см 2,3л Comfort",0,891900
50728,1100238,"Сковорода 28см 3,2л Comfort",1,1326200
50773,1100242,6пр набор посуды Gourmet,0,1274800
50774,1100243,7пр набор посуды Gourmet,0,1869800
50775,1100244,12пр набор посуды Gourmet,0,2548900
50776,1100852,Баночка дозатор для специй мелкого помола Geminis 4*10см,0,87400
50777,1100869,Баночка дозатор для специй крупного помола Geminis 4*10см,0,85800
50778,1100890,Набор для спагетти 20пр Studio,0,2671600
50779,1101862,Форма для запекания силиконовая &quot,0,100000
50780,1101870,Скороварка 6л VITA,1,2890600
50781,1101871,Скороварка 9л VITA,0,1674600
50825,1101872,Набор скороварок 4+7л VITA,1,4455400
50826,1101908,"Кастрюля с крышкой 2,3л 18см Manhattan",0,620100
50827,1101909,"Кастрюля с крышкой 4,9л 24cм Manhattan",0,845000
50828,1102160,"Пароварка с крышкой 20см 3,9л Zeno",0,775900
50829,1103000,3пр набор для барбекю Essentials,0,622800
50830,1104175,"Чайник со свистком Lucia 2,5л",1,1196200
50831,1104812,"Лопатка треугольная 34,5см Cubo",0,85700
50832,1105369,Штопор 21см Straight,0,250000
50833,1105451,Соковыжималка Zeno,0,431800
50834,1105574,Блюдо сервировочное овальное с тремя сегментами 350х240мм Straight,0,150000
50872,1105710,"Ложка сервировочная 34,5см Straight",0,60000
50873,1106091,6пр набор для барбекю в складной сумке Essentials,0,887000
50874,1106244,"Мельница для соли и перца 19*6,5см Duo",1,303900
50875,1106245,"Мельница для перца 26,5*6см Essentials",1,364200
50876,1106247,"Мельница для перца 5х16,5 см",0,284700
50877,1106251,8пр Набор мисок с резиновым нескользящим дном,0,1624400
50878,1106252,Ложка для кофе с зажимом 17см,0,78500
50918,1106254,2пр набор ножницы в магнитном футляре,1,175900
50919,1106255,"Ножницы кухонные 21,5см Essentials",0,146500
50920,1106256,Ножницы 25см Essentials,0,124800
50921,1106996,Бутылка питьевая с двойными стенками 1л Studio,0,344800
50922,1107034,"Чайник заварочный 1,3л Dorado",1,1017900
50923,1107060,"Заварочный чайник стеклянный 0,9л",0,359900
50924,1107125,"Термос дорожный 0,5л",0,270500
50961,1107126,Термос дорожный 1л,0,433100
50962,1107129,Поршневой заварочный чайник 600мл Essentials,1,430000
50963,1107130,Поршневой заварочный чайник 800мл Essentials,1,421300
50964,1107131,Поршневой заварочный чайник 1000мл Essentials,0,452400
50965,1107132,Пищевой контейнер 850мл Essentials,1,454000
50966,1107133,Термокружка 330мл Essentials,0,282000
51010,1107349,Нож для пиццы 19см Squalo,0,107100
51011,1108002,Щипцы для барбекю 41см Essentials,0,195300
51012,1108003,Лопатка для барбекю 43см Essentials,1,256800
51013,1108004,Кисточка для барбекю 42см Essentials,1,274800
51014,1108005,Вилка для барбекю Essentials,1,203600
51015,1108006,"Нож для барбекю 37,5см Essentials",1,250900
51016,1108007,"Щетка для очистки барбекю 44,5см Essentials",1,269100
51017,1108325,Набор для барбекю 33пр в алюминиевом кейсе Cubo,1,2473200
51063,1109107,Набор формовочных колец для укладки пищи 15пр,0,60000
51064,1109485,"Дуршлаг круглый 22,5см",0,307100
51065,1109499,"Дуршлаг круглый 25,5см",0,350800
51066,1109510,"Лопатка с отверстиями 40,5см Cubo",0,88200
51067,1109527,Шумовка нейлоновая 35см Cubo,0,76100
51068,1110005,Набор посуды 10пр Manhattan,0,5635400
51069,1110936,Набор 7пр кухонных принадлежностей Orion,0,875400
51070,1204030,Набор детских столовых приборов 3пр Circus,1,300700
51071,1204031,Набор детских столовых приборов 3пр Swipswap,0,217100
51072,1204032,Набор детских столовых приборов 3пр Folio Kids,1,245000
51115,1204050,4пр набор столовых приборов золотого цвета,1,511400
51116,1204051,4пр набор столовых приборов цвета чёрный с золотом,1,539200
51117,1212015,25пр набор столовых приборов Alteo,0,1150000
51118,1212016,25пр набор столовых приборов Sereno,0,1162000
51119,1212030,12пр набор столовых вилок Pure,0,352200
51120,1212032,12пр набор столовых ложек Pure,0,348300
51121,1212034,12пр набор чайных ложек Pure,0,253300
51122,1230500,Набор столовых приборов 30пр Essence,1,1345700
51123,1230501,Набор столовых приборов 30пр Line,0,1514000
51124,1230502,Набор столовых приборов 30пр Heritage,0,2413500
51169,1230503,Набор столовых приборов 30пр Folio,0,1698600
51170,1230505,Набор столовых приборов 30пр Waterfall,0,1479500
51171,1272605,Набор столовых приборов 72пр Essence,1,5073100
51172,1272606,Набор столовых приборов 72пр Waterfall,0,3341800
51173,1272607,"Набор столовых приборов из 72 предметов,  нержавеющая сталь",1,5617100
51174,1272608,Набор столовых приборов 72пр Finesse,0,5120000
51175,1272611,Набор столовых приборов 72пр Line,1,3355700
51176,1301052,Нож для выемки сердцевины яблока Essentials Duet,0,88800
51177,1301053,Открывалка для бутылок Essentials Duet,0,68700
51178,1301054,Вилка для мяса Essentials Duet,1,119800
51222,1301055,Лопатка для переворачивания Essentials Duet,1,174100
51223,1301056,Молоток для мяса Essentials Duet,1,413700
51224,1301057,Сервировочная вилка для спагетти Essentials Duet,1,164500
51225,1301058,Нож для пиццы Essentials Duet,1,85200
51226,1301059,Пресс для картофеля Essentials Duet,1,192200
